,Chat_msg,sent,sentiment
750,ok thanks guys for the response,,0
751,get well soon fam,,0
752,wl wl wl plzz,1.0,1
753,zinc with vit c tablets cold and flu medicine and sudafed nasal spray helped me a tonne,,1
754,you can send it to a burner,,0
755,you can send no problem,,0
756,always use burner if you mint,1.0,1
757,aa,,0
758,you can,,0
759,just woke up chilling here for a while,,0
760,     hey can i send my talisman token on another wallet to mint with that wallet  or i have to stick to the one that got airdroped,1.0,1
761,     ,,0
762,gm fam just tested positive for covid will be away for a bit,,0
763,lfg,1.0,1
764, ,,0
765,i have token so  or ,,1
766,same mate    lfg,1.0,0
767,cant wait to mint   ,1.0,1
768,you can find the time here    but  hours right,,0
769,just over  hrs,,0
770, you are professional broi love your art,1.0,1
771,when will you send token wl bohemia,1.0,1
772, h before wlm,,1
773,can i send my talisman token on another wallet to mint with that wallet  or i have to stick to the one that got airdroped,1.0,1
774,how many hours do we have until mint  sorry am driving,1.0,0
775,art is one of our main priorities  is a mastermind ,1.0,1
776,hask,,0
777,sup,,0
778,is there anyone who can answer me,,0
779,thanks,,0
780,hey um i have a question,,0
781,thanks fam it is really pretty and sexy  wl token i have ever seen,1.0,1
782,sure is,,0
783,it ll be  like a gen ,,0
784,yes,,0
785,search on this ,,0
786, put address,1.0,0
787,hi guys sorry but im not understanding if pm and wlm are both this afternoon why is the full collection already on me,-1.0,-1
788,search for the token id,1.0,1
789,hi the new bohemia collection wl is with token,1.0,1
790,i searched talisman  on fff but i couldnt find that,-1.0,-1
791,am driving,,0
792,sold out on ,-1.0,1
793,fams how many hours do we have until mint,,1
794, ,,0
795,  ,,0
796,yeahhhh,,0
797, yeah,,0
798,so if youre gonna mint in public would be better if you just buy talisman,1.0,1
799,will fabulosa have staking for woop ,1.0,1
800,gm mintdayyyy,1.0,1
801,its at  now,,0
802,gm,,0
803,yes theres always those selling for quick profit and not thinking of the long term ,-1.0,0
804, check in announcement,,0
805,ppl are selling their wl token,1.0,1
806,og thx,1.0,1
807,lfg,1.0,1
808,ok sir thanks,,0
809,rank will be avaliable on moonrank as soon as they have listed us shouldnt take that long after the mint is done,1.0,1
810,it is pinned,,0
811,i mean rank not just seeing nft,1.0,1
812,please please dont paperhand this really good project,1.0,1
813,what is the adress,1.0,0
814,youll be able to see it instantly after you have minted it,1.0,1
815,hey guys,,0
816,make sure to use the official token address,1.0,1
817, get it from fff,,0
818,where to buy,1.0,1
819,good and reveal is right after sold out or not,,1
820,how to get a talisman,,1
821,gm,,0
822,yo,,0
