,Chat_msg,sentiment
750,yhup,0
751,floor sweeper,0
752,thaanks faam,0
753,i want to submit wallet too,1
754,a,0
755,what are the nonwls sending,1
756,nope,0
757,please assign me a position so i can serve the community,1
758,oh really  so it means you need  el to get og,1
759,congrats on ur wl gee,1
760,a,0
761,seen be patient and keep your fingers crossed,0
762,dont run  gib me og,1
763,can,0
764,hey,0
765,i just need the wl,1
766,boss i m kneeling for you i don t know what else i can do,0
767,been here all the months  gib me purple paint already,1
768,lmaoooo wayray ni bobo yii   cos you don tey you no want make we cop am    bad guy,0
769,i need the og pls,1
770,yo,0
771,thanks buddy,0
772,brooooooo  og better,1
773,i am helpless and stranded warlock,-1
774,a,0
775,a,0
776,thank you supreme one,1
777,i sent it bro,0
778,oh great one stop fading me blizzz,1
779,but wl  wl  og,1
780,listen to him,0
781,congratulations,1
782,it won t be funny after being here all day and yet no og role,1
783,black zetsu gimme og dont make me go super sayian,1
784,wen wl for your son,1
785,gotten,0
786,i want color red,1
787,i know right needing here  a real og  and he s fading me,1
788,pretty decenttouched grass,0
789,a,0
790,a,0
791,i will grab you at your golden robe and will never let go,1
792,i kno i careless for og also,1
793,go to,0
794,not bad you,0
795,please i need og,1
796,mercury lab,0
797,a,0
798,i m his long lost don,0
799,haha  baba don collect wl congrats bro,1
800,yo,0
801,how to submit wallet,1
802,why,0
803,he doesnt care,0
804,awwwn true friend,1
805,thank you,0
806,a,0
807,e wan pour sand for my garri,0
808,a,0
809,a,0
810,son bawo,0
811,i dont want og anymoregib him wl please,1
812,lmao,0
813,congratulations,1
814,unless you bless me i will never let you go,1
815,add day in here,0
816,guy beg separately abeg,0
817,make these lots teasing me  know they playing,0
818,i m chillhow s it goin,0
819,i need og ser im an early supporter,1
820,me too,0
821,i am not good,0
822,watsup fam,0
823,nowanna mint with wl,1
824,ive been supporting this project for months i should be rewarded wit og role right,1
825,hello   wen wl for your son,1
826,nerr,0
827,tomorrow s mint we meeeuve,1
828,don t fade me and my memes,0
829,i need that og abeg,1
830,just give me and ill let you rest,0
831,yeah lets leave for public too or do you have more people here to give,0
832,thanks,0
833,go and submit your wallet o  if you like get too excited and forget,1
834,yea sad but the truth,0
835,thank you  for this,0
836,go and submit your wallet o  if you like get too excited and forget,1
837,og og og og,1
838,they the lots that paper hand,0
839,hey matewe meet again,0
840,yeah fam,0
841,a,0
842,og abeg tori oloun,0
843,just me left,0
844,public will undercut it ll be botted,0
845,im good and you,0
846,i want og,1
847,no go paper hand our project una dey get wl easily we don tale here,1
848,you got purple    gg,1
849,wow love you,0
850,after i get wl we can leave some for public,1
851,hye hye captain,0
