,Chat_msg
1,chats are now closed family talk to you in a couple of hours wagmi
5,woopwoop
9,woopwoop
17,                                                                       
19,woop woop see you after magic have took place
20,bullish
21,                 
22,good mint everyone
23,see you on the other side
27,  see you
28,pretty sure airdrops are done you may need to check out fff
29,am i the only one who hasnt received the token yet
31,lfg
32,mint it
33,k
38,hi
39,so many of you       
41,same to u
43,a fellow cat meow ser
44,meow meow
45,happy minting everyone   
46,meow
47,so fking excited
48, mins for relax and rest from the keyboard
51,hahahah lfg welcome back one more time    
52,thanks accidentally purged the discord when clearing out my  limit  
54,woopwoop
55,see you guys on the flip side almost
56,welcome back 
57,hello guys we are closing the chat in  mints to prevent people posting fake minting links
58,aaaand i m back
59,tik tok tik tok
60,     
67,in  hours and  minutes
68,  what time is the mint to make sure i have the sols
69,thanks fam we are genie fam   
70,woopwoop
71,whos excited  
72,get it out on socials after you mint fam
73,i think this art will be a sight to be seen
74,hi fam
75,yoo
77, can you help me with the ticket pls
78,woopwoop
80,hello
81,thanks mate done
82,your pfp boho looks great
83,hi
84,hey hey  
85,hey
86,hi here
87,will be in  later
88,sir mint link
89,for anyone whos lookin for the wl here is the token address you can buy it from fff    the token address of the talisman is 
90,i buy it like  days ago
91,hello
92,cool
94,i did not get my collab airdrop yet should i panic
95,check twitter 
96,i have token so am one of them haha
97,if you want to buy wl token its on fff
98,still  for wl mint
99, hours  mins till mint baby
100,how many minutes
101,indeed it is keep your eyes on 
102,any chance to get wl 
103,soon on 
104,website mint
105,yo
106,we  never list
107,i  read but i didnt understand what these bottle use for
108,hold ofc
110,in order to hold or flip
111,but market is a bitch
114,those all are diamond hands
115,i like the prospects given boho holders have about  of the wl
117,good reviews to mint fabulosa 
118,nope
119,i wouldnt go that far as to guarantee
120,this nft bottle has collection
121,thanks buddy
123,my mans a whale here   wow congratulations
124, sure profits 
126,holding or flipping
127, minutes right
128,tes
129,top level project
131,max profits
132,whaaaaat  
133,whats up buddies
134,for what purpose
135,go to moon 
137,yeah  fabulosas
138,test
139,ready to mint   
140,lfg
141,yo wassup
142,im starting to see fabulosa on some of my alpha groups    
143,yo rohit  
144,wen wl
145, sir will fabulosa dao be different
147,fects
148,all set
149,lfg
151,if we ever mange to reach public    just saying
152,ye if you planning to mint cheaper not to wait public and buy on fff
153,go get them all     
154,cheaper than public still
155,damn
156, i think
157,what is token fp
158,lets fkin goooooooo
159, for me  
160,the token looks  
161, public mint
162,that s good
164,ok
165,sorry checked announcements now
166,ahhh i see
167, with talisman
168,talisman token correct so what will the mint price be
169, cover a lot of peoples questions
170,correct
171,aiit
172,oh okay link will be posted in annoucments right
173,i have the token idk what the price is
175,in   mins
177,any idea what mint price is
178,what time 
179,hi from ttcc
180,wen is mint 
181,our own website
182,are you guys excited for the mint
183,no
184,on me
185,starts in  hours  mins
186, broski
187,i m in hawaii it s 
188,how much time left for the mint
191,some prefer to take a bit of profit than to diversify in this bear market to each there own
192,panic from wat
193,when mint
194, because of some panic holders
195,why the wl token very cheap
196,  savage
197,whats poppin guys
198, talisman   mint
199,yo
200,you passed the submission time
201,oh boy
203,very cheap the token
204,ayo
205,l
206,yes but i have the wl
207, when mint link
209,mint public or buy a talisman off fff
211,they are listed on fff tho
212,can you help me pls
213,kinda late now
214,ahh ok      
215,guyz if i missed the wallet submision
216,bohemia mint site
217,word
218,link will be posted on 
219,where is mint taking place
220,its in the pinned messages
221,you need to write the token address fam  
222,if u have  talismans you can mint  fabulosa and so on
223,shi
224, for talisman
225,and do i mint from their website
226,is it available for 
227,how many can wl mint 
228,ge guys
229,how do you do pleased to meet you
230,nothing comes up when i type tailsman in fff 
232,nice thx
233,see ya guys
234,yo remember betting on cubist collective on this mint
235,happy minting 
236,you should be able to
237,hi
238,can we mint on mobile with phantom 
239,right
240,fabulosa is bohemia so yes
242,yapp
243,is it true that if i own fabulosa nft and i can get in boheimia dao or it will be another dao
244,yes
245,what it wl token talisman
246,mint  sol token  total 
247,happy to miny
248,wassup frens
249,pinned messages
250,what is the token called on fff
251,cant wait to mint mine
252,who wants to sell me a master guru for  sol
253, yup
254,fp so low
255,thank you buddy
256, sol 
257,is it true that if i own fabulosa nft and i can get in boheimia dao or it will be another dao
258,ok thanks
259,pinned messages
260,can you send me the token address bro
261,im afraid its too late now for that
262, or so
263,look it up
264,link mint sir 
265,how much is it on famous fox
266,list it fam
267,on famous fox federation
268,you can buy on fff token 
269,wagboo
270,read the manuscript  to have a clear vision  
271,anyone wanna buy token on fff
272,   how to buy wl 
273,what is utility in another word
274,i opened a ticket hope it helps thank you
275,rent to other ppl why should they rent my nft
276,hello guys
277,you can rent them for woop
279,mint dayyyy
280,can you help me if i give you my wallet address now sir
281,you can find it in   we had daily reminders
